action_date,action_date_fiscal_year,award_description,award_id,award_piid_ref,award_type,award_type_code,awarding_agency_code,awarding_agency_name,awarding_office_code,awarding_office_name,awarding_sub_agency_code,awarding_sub_agency_name,contract_award_unique_key,dollars_obligated,last_modified_date,naics_code,number_of_actions,parent_award_agency_id,parent_award_agency_name,plop_city,plop_congressional_district,plop_country_code,plop_country_name,plop_county,plop_state,plop_state_code,plop_zip,pop_end_date,pop_potential_end_date,pop_start_date,recipient_city,recipient_duns,recipient_name,recipient_zip_code,year,plop_zip_5,recipient_zip_code_5
2021-05-18 00:00:00,2021,"MODS: MODIFICATION TO INCREMENTALLY FUND THE AWARD BY $975,547.00. TO EXERCISE OPTION YEAR 3: PERFORMANCE PERIOD IS SEPTEMBER 30, 2021 TO SEPTEMBER 29, 2022.",GS10F098AA,72061519M00003,DELIVERY ORDER,C,72,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),720615,AMER EMBASSY NAIROBI - USAID/KENYA,7200,AGENCY FOR INTERNATIONAL DEVELOPMENT,CONT_AWD_72061519M00003_7200_GS10F098AA_4732,975547.0,2021-05-18 02:50:05,541611,1.0,4732,FEDERAL ACQUISITION SERVICE,KEN,KEN,KEN,KENYA,KEN,KEN,KEN,KEN,2022-09-29 00:00:00,2022-09-29 00:00:00,2019-09-30 05:28:35,WASHINGTON,144344947,DEXIS INTERACTIVE,200052205.0,2021,KEN,20005
2021-05-27 00:00:00,2021,NEW CONFERENCE LOGISTICS PRE-PLANNING TO FOR 2022 SEP NATIONAL TRAINING FORUM,DEEE0008101,89243421FEE400214,DELIVERY ORDER,C,89,DEPARTMENT OF ENERGY (DOE),892434,GOLDEN FIELD OFFICE,8900,"ENERGY, DEPARTMENT OF",CONT_AWD_89243421FEE400214_8900_DEEE0008101_8900,1500.0,2021-05-27 16:30:54,541611,1.0,8900,"ENERGY, DEPARTMENT OF",ASHBURN,10.0,USA,UNITED STATES,LOUDOUN,VIRGINIA,VA,201480007,2021-12-10 00:00:00,2021-12-10 00:00:00,2021-05-27 00:00:00,LEESBURG,80538525,NORTHBOUND SOLUTIONS LLC,201763112.0,2021,20148,20176
2021-06-07 00:00:00,2021,STRATEGIC PLAN FACILITATION PHASE 2,47QREA20D000M,75N98021F00203,DELIVERY ORDER,C,75,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),75N980,NATIONAL INSTITUTES OF HEALTH OLAO,7529,NATIONAL INSTITUTES OF HEALTH,CONT_AWD_75N98021F00203_7529_47QREA20D000M_4732,19744.92,2021-06-07 12:31:30,541611,1.0,4732,FEDERAL ACQUISITION SERVICE,BETHESDA,8.0,USA,UNITED STATES,MONTGOMERY,MARYLAND,MD,208920004,2022-06-09 00:00:00,2022-06-09 00:00:00,2021-06-07 00:00:00,LEESBURG,79746993,WRITE BRAIN LLC,201753039.0,2021,20892,20175
2021-06-25 00:00:00,2021,OY EXERCISE,GS10F0125K,VA26215F6349,DELIVERY ORDER,C,36,DEPARTMENT OF VETERANS AFFAIRS (VA),36C262,262-NETWORK CONTRACT OFFICE 22L (36C262),3600,"VETERANS AFFAIRS, DEPARTMENT OF",CONT_AWD_VA26215F6349_3600_GS10F0125K_4730,-1222.02,2021-06-25 10:01:37,541620,1.0,4730,FEDERAL ACQUISITION SERVICE,LOMA LINDA,31.0,USA,UNITED STATES,SAN BERNARDINO,CALIFORNIA,CA,923570001,2020-07-31 00:00:00,2020-07-31 00:00:00,2015-08-01 00:00:00,FAIRFAX,144187796,HEALTHY BUILDINGS INTERNATIONAL (VA) INC,220301508.0,2021,92357,22030
2021-06-22 00:00:00,2021,THIS FIRM-FIXED-PRICE (FFP) PURCHASE ORDER (PO) IS FOR PHASE-IN ACTIVITIES FOR THE CENTER ADMINISTRATIVE SUPPORT SERVICES II (CASS II) CONTRACT 80MSFC21DA004.,80MSFC21P0045,80MSFC21P0045,PURCHASE ORDER,B,80,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),80MSFC,NASA MARSHALL SPACE FLIGHT CENTER,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,CONT_AWD_80MSFC21P0045_8000_-NONE-_-NONE-,33000.0,2021-06-24 10:54:30,541611,1.0,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),RESTON,11.0,USA,UNITED STATES,FAIRFAX,VIRGINIA,VA,201904595,2021-07-31 00:00:00,2021-07-31 00:00:00,2021-07-01 00:00:00,RESTON,80082677,CELERAPRO LLC,201904595.0,2021,20190,20190
2021-06-09 00:00:00,2021,"THE PURPOSE OF THIS MODIFICATION IS TO EXERCISE OPTION PERIOD TWO, AND ADD FUNDING IN THE AMOUNT OF $249,216.00 TO THE CONTRACT, FUNDING SERVICES THROUGH AUGUST 18, 2022.",89303918AEM000003,89303919FEM000088,BPA CALL,A,89,DEPARTMENT OF ENERGY (DOE),893039,RICHLAND OPERATIONS OFFICE,8900,"ENERGY, DEPARTMENT OF",CONT_AWD_89303919FEM000088_8900_89303918AEM000003_8900,249216.0,2021-06-09 11:40:02,541611,1.0,8900,"ENERGY, DEPARTMENT OF",RICHLAND,4.0,USA,UNITED STATES,BENTON,WASHINGTON,WA,993524692,2022-08-18 00:00:00,2024-08-18 00:00:00,2019-08-16 00:00:00,LYNCHBURG,15189916,ATTAINX INC,245041481.0,2021,99352,24504
2021-04-30 00:00:00,2021,SOUTHERN CALIFORNIA OCEAN DISPOSAL SITE #2  (A9DD)  PRP SEARCH AND ENFORCEMENT SUPPORT SERVICES,EPS91601,68HE0921F0034,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE09,REGION 9 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0921F0034_6800_EPS91601_6800,200598.74,2021-04-30 18:51:34,541620,1.0,6800,ENVIRONMENTAL PROTECTION AGENCY,SAN FRANCISCO,12.0,USA,UNITED STATES,SAN FRANCISCO,CALIFORNIA,CA,941053920,2021-11-30 00:00:00,2021-11-30 00:00:00,2021-04-30 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552.0,2021,94105,80228
2021-06-22 00:00:00,2021,WITH THE EXCEPTION OF AN ALLOWANCE FOR ADJUSTMENTS DUE TO THE FINALIZATION OF PROVISIONAL RATES THIS MODIFICATION CLOSES OUT THE TASK ORDER.  DE-OBLIGATE FUNDING,SAQMMA13D0021,SAQMMA13F1916,DELIVERY ORDER,C,19,DEPARTMENT OF STATE (DOS),19AQMM,ACQUISITIONS - AQM MOMENTUM,1900,"STATE, DEPARTMENT OF",CONT_AWD_SAQMMA13F1916_1900_SAQMMA13D0021_1900,-129.35,2021-06-22 14:52:18,541611,1.0,1900,"STATE, DEPARTMENT OF",YEM,YEM,YEM,YEMEN,YEM,YEM,YEM,YEM,2017-12-21 00:00:00,2017-12-31 00:00:00,2013-06-25 00:00:00,TAMPA,118498067,ADVANCED C4 SOLUTIONS INC,336147003.0,2021,YEM,33614
2021-06-23 00:00:00,2021,EXERCISE OPTION YEAR,19AQMM18D0001,19AQMM18F4248,DELIVERY ORDER,C,19,DEPARTMENT OF STATE (DOS),19AQMM,ACQUISITIONS - AQM MOMENTUM,1900,"STATE, DEPARTMENT OF",CONT_AWD_19AQMM18F4248_1900_19AQMM18D0001_1900,285966.97,2021-06-23 18:47:29,541611,1.0,1900,"STATE, DEPARTMENT OF",WASHINGTON,98.0,USA,UNITED STATES,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,200010001,2022-07-23 00:00:00,2023-07-22 00:00:00,2018-07-23 00:00:00,KODIAK,79377319,ALUTIIQ INFORMATION MANAGEMENT LLC,996156713.0,2021,20001,99615
2021-04-29 00:00:00,2021,"FUEL FARM MAINTENANCE SERVICES AT USCG AIR STATION BORINQUEN, AGUADILLA, PR",GS10F0496N,HSCG8416FAA7500,DELIVERY ORDER,C,70,DEPARTMENT OF HOMELAND SECURITY (DHS),70Z084,DOL-9,7008,U.S. COAST GUARD,CONT_AWD_HSCG8416FAA7500_7008_GS10F0496N_4730,28002.85,2021-05-18 14:15:55,541611,1.0,4730,FEDERAL ACQUISITION SERVICE,AGUADILLA,98.0,USA,UNITED STATES,AGUADILLA,PUERTO RICO,PR,006031304,2021-09-30 00:00:00,2021-09-30 00:00:00,2016-10-01 00:00:00,COLORADO SPRINGS,18339952,DOSS AVIATION INC,809175080.0,2021,00603,80917
2021-06-25 00:00:00,2021,ADD PM POSITION,70B01C20C00000140,70B01C20C00000140,DEFINITIVE CONTRACT,D,70,DEPARTMENT OF HOMELAND SECURITY (DHS),70B01C,ADMIN FACILITIES TRAINING CTR DIV,7014,U.S. CUSTOMS AND BORDER PROTECTION,CONT_AWD_70B01C20C00000140_7014_-NONE-_-NONE-,161632.0,2021-06-25 14:06:52,541611,1.0,7014,DEPARTMENT OF HOMELAND SECURITY (DHS),EULESS,24.0,USA,UNITED STATES,TARRANT,TEXAS,TX,760403962,2022-03-23 00:00:00,2023-03-23 00:00:00,2020-09-30 00:00:00,CATOOSA,79089292,CHEROKEE NATION MANAGEMENT & CONSULTING LLC,740153235.0,2021,76040,74015
2021-06-25 00:00:00,2021,THE PURPOSE OF THIS TASK ORDER IS TO PROVIDE LOGISTICAL SUPPORT FOR THE PEER REVIEW PROCESS FOR THE CHILD CARE ACCESS MEANS PARENTS IN SCHOOL (CCAMPIS) PROGRAM.,91990020A0034,91990021F0346,BPA CALL,A,91,DEPARTMENT OF EDUCATION (ED),919900,CONTRACTS AND ACQUISTIONS MANAGEMEN,9100,"EDUCATION, DEPARTMENT OF",CONT_AWD_91990021F0346_9100_91990020A0034_9100,49754.46,2021-06-25 15:59:55,541611,1.0,9100,"EDUCATION, DEPARTMENT OF",WASHINGTON,98.0,USA,UNITED STATES,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,200041735,2021-11-01 00:00:00,2021-11-01 00:00:00,2021-06-30 00:00:00,MANASSAS,123230570,LONGEVITY CONSULTING LLC,201128850.0,2021,20004,20112
2021-05-04 00:00:00,2021,"THE PURPOSE OF THIS MODIFICATION IS TO DE-OBLIGATE EXCESS FUNDS IN THE AMOUNT OF $6,000.00 FROM ORDER 1605DC18P00014.",1605DC18P00014,1605DC18P00014,PURCHASE ORDER,B,1601,DEPARTMENT OF LABOR (DOL),1605DC,DEPT OF LABOR-OASAM-OFC  PROC SVCS,1605,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT,CONT_AWD_1605DC18P00014_1605_-NONE-_-NONE-,-6000.0,2021-05-04 16:15:30,541612,1.0,1605,DEPARTMENT OF LABOR (DOL),WASHINGTON,98.0,USA,UNITED STATES,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,202100001,2018-11-29 00:00:00,2018-11-29 00:00:00,2017-11-21 00:00:00,MC LEAN,190155650,FORMAN STEPHEN B,221022931.0,2021,20210,22102
2021-06-07 00:00:00,2021,MSI INTERNSHIP PROGRAM SPRING 2020,693KA918D00009,693KA920F00036,DELIVERY ORDER,C,69,DEPARTMENT OF TRANSPORTATION (DOT),693KA9,693KA9 CONTRACTING FOR SERVICES,6920,FEDERAL AVIATION ADMINISTRATION,CONT_AWD_693KA920F00036_6920_693KA918D00009_6920,-376.13,2021-06-07 15:43:15,541611,1.0,6920,FEDERAL AVIATION ADMINISTRATION,WASHINGTON,98.0,USA,UNITED STATES,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,205910001,2020-05-08 00:00:00,2020-05-08 00:00:00,2020-01-29 00:00:00,SUITLAND,833268407,TSC ENTERPRISE LLC,207464339.0,2021,20591,20746
2021-05-27 00:00:00,2021,ADMINISTRATIVE INVESTIGATIONS,GS02F027GA,HHSH250201700035G,DELIVERY ORDER,C,75,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),75R602,HRSA HEADQUARTERS,7526,HEALTH RESOURCES AND SERVICES ADMINISTRATION,CONT_AWD_HHSH250201700035G_7526_GS02F027GA_4732,-1423.79,2021-05-27 13:09:23,541611,1.0,4732,FEDERAL ACQUISITION SERVICE,ROCKVILLE,8.0,USA,UNITED STATES,MONTGOMERY,MARYLAND,MD,208570002,2017-10-18 00:00:00,2017-10-18 00:00:00,2017-09-13 00:00:00,ALEXANDRIA,79205851,ART OF RESOLUTION LLC,223144533.0,2021,20857,22314
2021-06-03 00:00:00,2021,SUPPORT FOR ITL'S OPEN SECURITY CONTROLS ASSESSMENT LANGUAGE DEVELOPMENT PROJECT,1333ND18DNB630011,1333ND21FNB770125,DELIVERY ORDER,C,13,DEPARTMENT OF COMMERCE (DOC),1333ND,DEPT OF COMMERCE NIST,1341,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,CONT_AWD_1333ND21FNB770125_1341_1333ND18DNB630011_1341,87474.96,2021-06-03 10:15:11,541690,1.0,1341,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,UPPER MARLBORO,4.0,USA,UNITED STATES,PRINCE GEORGES,MARYLAND,MD,207744789,2022-06-07 00:00:00,2022-06-07 00:00:00,2021-06-03 00:00:00,LARGO,783413763,STRATIVIA LLC,207744789.0,2021,20774,20774
2021-05-19 00:00:00,2021,"CONSULTING SERVICES WHICH WILL INCLUDE: MANAGEMENT OR STRATEGY CONSULTING, FACILITATION AND RELATED DECISION SUPPORT SERVICES, INTEGRATED CONSULTING SERVICES, TRAINING SERVICES AND ADMINISTRATION AND QUALITY PERFORMANCE ASSURANCE TO SUPPORT THE U.S.",140D0420A0003,140D0421F0051,BPA CALL,A,14,DEPARTMENT OF THE INTERIOR (DOI),140D04,IBC ACQ SVCS DIRECTORATE (00004),1406,DEPARTMENTAL OFFICES,CONT_AWD_140D0421F0051_1406_140D0420A0003_1406,64184.34,2021-05-19 11:23:58,541611,1.0,1406,DEPARTMENTAL OFFICES,WASHINGTON,98.0,USA,UNITED STATES,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,202400001,2021-12-10 00:00:00,2021-12-10 00:00:00,2020-12-11 00:00:00,DAYTON,788088594,LDSS INC,454311251.0,2021,20240,45431
2021-05-05 00:00:00,2021,USAID/SENEGAL WASH ACTIVITY,AIDOAAI1400071,AID685TO1600001,DELIVERY ORDER,C,72,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),720685,USAID/SENEGAL,7200,AGENCY FOR INTERNATIONAL DEVELOPMENT,CONT_AWD_AID685TO1600001_7200_AIDOAAI1400071_7200,3952820.69,2021-05-05 13:32:42,541620,1.0,7200,AGENCY FOR INTERNATIONAL DEVELOPMENT,SEN,SEN,SEN,SENEGAL,SEN,SEN,SEN,SEN,2022-09-15 00:00:00,2022-09-15 00:00:00,2016-03-16 00:00:00,OAKLAND,556053379,NATURAL RESOURCES CONSULTING ENGINEERS INC,946092315.0,2021,SEN,94609
2021-06-09 00:00:00,2021,THIS MODIFICATION DE-OBLIGATES FUNDING FROM THE BASE YEAR.,SAQMMA16D0022,19AQMM18F2685,DELIVERY ORDER,C,19,DEPARTMENT OF STATE (DOS),19AQMM,ACQUISITIONS - AQM MOMENTUM,1900,"STATE, DEPARTMENT OF",CONT_AWD_19AQMM18F2685_1900_SAQMMA16D0022_1900,-12097.15,2021-06-15 11:14:48,541611,1.0,1900,"STATE, DEPARTMENT OF",WASHINGTON,98.0,USA,UNITED STATES,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,200370015,2021-08-22 00:00:00,2021-08-22 00:00:00,2018-08-22 00:00:00,COLUMBIA,126658892,KENJYA-TRUSANT GROUP LLC THE,210455156.0,2021,20037,21045
2021-05-07 00:00:00,2021,MISSION RE-WRITING WORKSHOP FACILITATION,33316921P00457426,33316921P00457426,PURCHASE ORDER,B,3300,SMITHSONIAN INSTITUTION (SI),333169,ASIAN PACIFIC AMERICAN CENTER,3300,SMITHSONIAN INSTITUTION,CONT_AWD_33316921P00457426_3300_-NONE-_-NONE-,16500.0,2021-05-07 07:51:35,541611,1.0,3300,SMITHSONIAN INSTITUTION (SI),SILVER SPRING,8.0,USA,UNITED STATES,MONTGOMERY,MARYLAND,MD,209015021,2021-07-31 00:00:00,2021-07-31 00:00:00,2021-05-07 00:00:00,SILVER SPRING,47592747,BREVITY & WIT LLC,209015021.0,2021,20901,20901
2021-05-24 00:00:00,2021,955 INVESTIGATION,1305M418ANAAA0004,1305M419FNAAJ0078,BPA CALL,A,13,DEPARTMENT OF COMMERCE (DOC),1305M4,DEPT OF COMMERCE NOAA,1330,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,CONT_AWD_1305M419FNAAJ0078_1330_1305M418ANAAA0004_1330,15000.0,2021-05-24 10:37:04,541611,1.0,1330,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,RESTON,11.0,USA,UNITED STATES,FAIRFAX,VIRGINIA,VA,201911101,2022-06-10 00:00:00,2022-06-10 00:00:00,2019-06-11 00:00:00,CENTREVILLE,111187295,GOLDEN KEY GROUP LLC,201212145.0,2021,20191,20121
2021-05-21 00:00:00,2021,2017-2018 TEAM AND INDIVIDUAL COACHING,AG3187B150006,AG3187K170139,BPA CALL,A,12,DEPARTMENT OF AGRICULTURE (USDA),123187,USDA FOREST SERVICE,12C2,FOREST SERVICE,CONT_AWD_AG3187K170139_12C2_AG3187B150006_12C2,-2863.38,2021-05-24 10:14:11,541611,1.0,12C2,FOREST SERVICE,ALEXANDRIA,8.0,USA,UNITED STATES,ALEXANDRIA CITY,VIRGINIA,VA,223141555,2018-11-30 00:00:00,2018-11-30 00:00:00,2017-08-14 00:00:00,ALEXANDRIA,114391543,TRAINING RESOURCES GROUP INC,223141555.0,2021,22314,22314
2021-05-21 00:00:00,2021,DISASTER RECOVERY SUPPORT,1331L518A13250003,1331L520F13250381,BPA CALL,A,13,DEPARTMENT OF COMMERCE (DOC),1331L5,DEPT OF COMMERCE ESO,1301,OFFICE OF THE SECRETARY,CONT_AWD_1331L520F13250381_1301_1331L518A13250003_1301,582533.0,2021-05-21 14:20:57,541611,1.0,1301,OFFICE OF THE SECRETARY,WASHINGTON,98.0,USA,UNITED STATES,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,202300003,2021-11-19 00:00:00,2023-05-19 00:00:00,2020-05-20 00:00:00,ALEXANDRIA,13735032,J&M GLOBAL SOLUTIONS LLC,223142657.0,2021,20230,22314
2021-06-01 00:00:00,2021,LABOR HOUR AWARD CENTER FOR VETERINARY MEDICINE (CVM)  - LITIGATION SUPPORT SERVICES FREEDOM OF INFORMATION ACT (FOIA) SUPPORT FDA THREE-WAY-MATCHING INVOICE CLAUSE-COR: KELLY.COVINGTON@FDA.HHS.GOV,HHSF223201810005B,75F40121F19165,BPA CALL,A,75,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),75F401,FDA OFFICE OF ACQ  GRANT SVCS,7524,FOOD AND DRUG ADMINISTRATION,CONT_AWD_75F40121F19165_7524_HHSF223201810005B_7524,171017.28,2021-06-02 11:18:10,541611,1.0,7524,FOOD AND DRUG ADMINISTRATION,ROCKVILLE,8.0,USA,UNITED STATES,MONTGOMERY,MARYLAND,MD,208570001,2022-03-24 00:00:00,2022-03-24 00:00:00,2021-06-01 00:00:00,RESTON,134718985,BRILLIENT CORPORATION,201905298.0,2021,20857,20190
2021-05-19 00:00:00,2021,PROFESSIONAL AND ADMINISTRATIVE SUPPORT FOR HRD,15M10418DA4100007,15M10320FA4100006,DELIVERY ORDER,C,15,DEPARTMENT OF JUSTICE (DOJ),15M104,"U.S. DEPT OF JUSTICE, USMS",1544,U.S. MARSHALS SERVICE,CONT_AWD_15M10320FA4100006_1544_15M10418DA4100007_1544,-13610.08,2021-05-19 10:10:18,541611,1.0,1544,U.S. MARSHALS SERVICE,FALLS CHURCH,8.0,USA,UNITED STATES,FAIRFAX,VIRGINIA,VA,220412234,2021-09-30 00:00:00,2021-09-30 00:00:00,2020-09-02 00:00:00,FALLS CHURCH,615079147,TUBA GROUP INC,220412219.0,2021,22041,22041
2021-05-25 00:00:00,2021,ACM WORKFORCE SUPPORT BRIDGE CONTRACT,693KA918A00118,693KA921F00121,BPA CALL,A,69,DEPARTMENT OF TRANSPORTATION (DOT),693KA9,693KA9 CONTRACTING FOR SERVICES,6920,FEDERAL AVIATION ADMINISTRATION,CONT_AWD_693KA921F00121_6920_693KA918A00118_6920,214555.0,2021-05-25 10:25:28,541611,1.0,6920,FEDERAL AVIATION ADMINISTRATION,WASHINGTON,98.0,USA,UNITED STATES,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,205910001,2021-08-31 00:00:00,2021-08-31 00:00:00,2021-04-01 00:00:00,MCLEAN,76881387,I3 (I-CUBED) PARTNERS LLC,221013921.0,2021,20591,22101
2021-06-08 00:00:00,2021,"TEAMBUILDING, CONSULTING AND FACILITATION SERVICES",1282A718A0004,1282A721F0183,BPA CALL,A,12,DEPARTMENT OF AGRICULTURE (USDA),1282A7,USDA FOREST SERVICE,12C2,FOREST SERVICE,CONT_AWD_1282A721F0183_12C2_1282A718A0004_12C2,30223.68,2021-06-08 16:08:49,541611,1.0,12C2,FOREST SERVICE,OGDEN,1.0,USA,UNITED STATES,WEBER,UTAH,UT,844013113,2021-10-31 00:00:00,2021-10-31 00:00:00,2021-06-08 00:00:00,LITTLETON,825487234,COMMUNICATION INSTITUTE INTERNATIONAL INC,801208079.0,2021,84401,80120
2021-05-06 00:00:00,2021,SUPPORT FOR STRATEGIC PLANNING ACTIVITIES FOR NCI'S CSSI (TASK 1) TASK ORDER 05,HHSN261201100016I,HHSN26100005,DELIVERY ORDER,C,75,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),75N910,NIH NCI,7529,NATIONAL INSTITUTES OF HEALTH,CONT_AWD_HHSN26100005_7529_HHSN261201100016I_7529,-0.18,2021-05-06 15:49:19,541690,1.0,7529,NATIONAL INSTITUTES OF HEALTH,BETHESDA,8.0,USA,UNITED STATES,MONTGOMERY,MARYLAND,MD,208920001,2021-09-14 00:00:00,2021-09-14 00:00:00,2016-09-15 00:00:00,MOUNTAIN VIEW,602744732,CCS ASSOCIATES INC,940430816.0,2021,20892,94043
2021-05-18 00:00:00,2021,"NEPA SUPPORT - TOMICHI/DIAMOND CRK AML - THE INTENT OF THIS SOLICITATION IS TO PROVIDE NEPA AND BIOLOGIC BA/BE & MIS FIELD WORK AND REPORTS, AND THE PREPARATION OF DRAFT NEPA DOCUMENTS FOR 25 ABANDONED/INACTIVE HISTORIC MINE SITES IN THE TOMICHI",1284LM21C0009,1284LM21C0009,DEFINITIVE CONTRACT,D,12,DEPARTMENT OF AGRICULTURE (USDA),1284LM,"USDA-FS, CSA INTERMOUNTAIN 2",12C2,FOREST SERVICE,CONT_AWD_1284LM21C0009_12C2_-NONE-_-NONE-,29850.0,2021-05-20 00:40:12,541620,1.0,12C2,DEPARTMENT OF AGRICULTURE (USDA),DELTA,3.0,USA,UNITED STATES,DELTA,COLORADO,CO,814162414,2022-01-31 00:00:00,2022-01-31 00:00:00,2021-05-18 00:00:00,PAONIA,831563858,WEST SLOPE ENVIRONMENTAL LLC,814286412.0,2021,81416,81428
2021-05-19 00:00:00,2021,"THE PURPOSE OF THIS MOD IS TO DEOBLIGATE UNUSED FUNDS FROM CLINS 0010, 0020, 0060, AND 0070.",INP15PA00013,INP16PB00448,BPA CALL,A,14,DEPARTMENT OF THE INTERIOR (DOI),140P21,WASHINGTON CONTRACTING OFFICE,1443,NATIONAL PARK SERVICE,CONT_AWD_INP16PB00448_1443_INP15PA00013_1443,-10223.74,2021-06-20 12:15:38,541613,1.0,1443,NATIONAL PARK SERVICE,WASHINGTON,98.0,USA,UNITED STATES,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,200055905,2020-09-29 00:00:00,2020-09-29 00:00:00,2016-08-30 00:00:00,HUNTSVILLE,938036704,MEDIA FUSION INC,358161901.0,2021,20005,35816
2021-05-06 00:00:00,2021,FEDERAL MONITORING AND OVERSIGHT IN LONG TERM CARE FACILITIES LIFE SAFETY CODE SURVEYS,GS10F0244S,75FCMC20F0032,DELIVERY ORDER,C,75,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),75FCMC,OFC OF ACQUISITION AND GRANTS MGMT,7530,CENTERS FOR MEDICARE AND MEDICAID SERVICES,CONT_AWD_75FCMC20F0032_7530_GS10F0244S_4730,528866.0,2021-05-14 10:33:02,541611,1.0,4730,FEDERAL ACQUISITION SERVICE,HYATTSVILLE,4.0,USA,UNITED STATES,PRINCE GEORGES,MARYLAND,MD,207852275,2021-05-11 00:00:00,2023-05-11 00:00:00,2020-05-12 00:00:00,BALTIMORE,943125435,ASCELLON CORPORATION,212185006.0,2021,20785,21218
2021-05-10 00:00:00,2021,VHA INTEGRATED HEALTHCARE TRANSFORMATION (IHT) IDIQ CONTRACT,36C10X20D0004,36C10X21N0068,DELIVERY ORDER,C,36,DEPARTMENT OF VETERANS AFFAIRS (VA),36C10X,SAC FREDERICK (36C10X),3600,"VETERANS AFFAIRS, DEPARTMENT OF",CONT_AWD_36C10X21N0068_3600_36C10X20D0004_3600,687873.08,2021-06-07 06:58:12,541611,1.0,3600,"VETERANS AFFAIRS, DEPARTMENT OF",ARLINGTON,8.0,USA,UNITED STATES,ARLINGTON,VIRGINIA,VA,222023829,2022-05-09 00:00:00,2026-05-09 00:00:00,2021-05-10 00:00:00,ARLINGTON,80773545,RB MANAGEMENT CONSULTANTS LLC,222023709.0,2021,22202,22202
2021-05-14 00:00:00,2021,MOD 3 TO EXERCISE OPTION YEAR 2 FOR ANNUAL SERVICE TO SUPPORT AND UPDATE THE CHARGEMASTER SYSTEM,GS00F395GA,75H70619F80047,DELIVERY ORDER,C,75,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),75H706,GREAT PLAINS AREA INDIAN HEALTH SVC,7527,INDIAN HEALTH SERVICE,CONT_AWD_75H70619F80047_7527_GS00F395GA_4732,348219.0,2021-05-14 00:07:22,541611,1.0,4732,FEDERAL ACQUISITION SERVICE,ABERDEEN,0.0,USA,UNITED STATES,BROWN,SOUTH DAKOTA,SD,574014360,2024-05-31 00:00:00,2024-05-31 00:00:00,2019-06-01 00:00:00,GERMANTOWN,72637457,MCMANIS ASSOCIATES INC,208764087.0,2021,57401,20876
2021-06-09 00:00:00,2021,EXERCISE OPTION 2.3 FOR SBIR3 OSC ONLINE SCENARIO-BASED TRAINING,EPS91702,EPS91702,DEFINITIVE CONTRACT,D,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE09,REGION 9 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_EPS91702_6800_-NONE-_-NONE-,22728.1,2021-06-09 11:15:27,541690,1.0,6800,ENVIRONMENTAL PROTECTION AGENCY (EPA),SAN FRANCISCO,12.0,USA,UNITED STATES,SAN FRANCISCO,CALIFORNIA,CA,941053920,2022-09-28 00:00:00,2022-09-28 00:00:00,2017-09-29 00:00:00,WESTMINSTER,804781706,ALPHATRAC INC,800316869.0,2021,94105,80031
