,action_date,action_date_fiscal_year,award_description,award_id,award_piid_ref,award_type,award_type_code,awarding_agency_code,awarding_agency_name,awarding_office_code,awarding_office_name,awarding_sub_agency_code,awarding_sub_agency_name,contract_award_unique_key,dollars_obligated,last_modified_date,naics_code,naics_description,number_of_actions,parent_award_agency_id,parent_award_agency_name,plop_city,plop_congressional_district,plop_country_code,plop_country_name,plop_county,plop_state,plop_state_code,plop_zip,pop_end_date,pop_potential_end_date,pop_start_date,recipient_city,recipient_duns,recipient_name,recipient_zip_code,year,plop_zip_5,recipient_zip_code_5
99980,2020-09-30 00:00:00,2020,"AWARD OF SOLICITATION 68HE0520R0037, CORRECTIVE ACTION AND TECHNICAL SUPPORT AT DEMMER PROPERTY&NEW CASTLE STAINLESS PLATING SITES.",68HERH19D0020,68HE0520F0121,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE05,REGION 5 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0520F0121_6800_68HERH19D0020_6800,30000.0,2020-09-30 17:30:09,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,ARLINGTON,8.0,USA,UNITED STATES,ARLINGTON,VIRGINIA,VA,222013397,2023-12-05 00:00:00,2023-12-05 00:00:00,2020-09-30 00:00:00,ARLINGTON,71167910,S C & A INC,222013324,2020,22201,22201
101833,2019-07-10 00:00:00,2019,"CORRECTIVE ACTION SUPPORT AT US STEEL   MOD P00014 - THIS MODIFICATION OBLIGATES FUNDS TO THE TASK ORDER IN THE AMOUNT OF $20,536.00 AND ADD THE EPA LOGO CLAUSE.  THERE ARE NO OTHER CHANGES UNDER THIS MODIFICATION.",EPW12032,5539,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE0S,SF PROC OPS DIVISION (SRRPOD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_5539_6800_EPW12032_6800,-2799.11,2019-07-10 14:02:12,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,LAKEWOOD,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802281552,2019-05-15 00:00:00,2019-05-15 00:00:00,2019-07-10 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2019,80228,80228
102576,2020-03-06 00:00:00,2020,R6 RESES SMALL DAIRY FARM SUSTAINABILITY AND RESILIENCY OPTION PLANNING,EPC18007,68HERC19F0038,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HERH,HEADQUARTERS ACQUISITION DIV (HQAD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HERC19F0038_6800_EPC18007_6800,-0.56,2020-03-06 07:41:03,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,LAKEWOOD,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802154748,2019-11-20 00:00:00,2019-11-20 00:00:00,2018-11-21 00:00:00,LAKEWOOD,623278447,NEPTUNE AND COMPANY INC,802154748,2020,80215,80215
103728,2018-07-25 00:00:00,2018,HUMAN CAPITAL ASSESSMENT,TFSAFIN17D0004,20341218F00071,DELIVERY ORDER,C,20,DEPARTMENT OF THE TREASURY (TREAS),203412,ARC DIV PROC SVCS - FINCEN,2036,BUREAU OF THE FISCAL SERVICE,CONT_AWD_20341218F00071_2036_TFSAFIN17D0004_2036,1142369.86,2018-07-25 11:38:34,541612,"HUMAN RESOURCES CONSULTING SERVICES (2007), HUMAN RESOURCES AND EXECUTIVE SEARCH CONSULTING SERVICES (2002)",1,2036,BUREAU OF THE FISCAL SERVICE,WASHINGTON,0.0,USA,UNITED STATES,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,200363811,2020-07-31 00:00:00,2020-07-31 00:00:00,2018-08-01 00:00:00,CATOOSA,79089292,CHEROKEE NATION MANAGEMENT & CONSULTING LLC,740153235,2018,20036,74015
103736,2019-08-05 00:00:00,2019,SUPERFUND  ENFORCEMENT  SUPPORT SERVICES (SESS)EPA REGIONS 7-10 SITE NAME:KAISER SMELTER.,EPS91601,68HE0719F0161,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE07,REGION 7 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0719F0161_6800_EPS91601_6800,52831.23,2019-08-05 14:50:44,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,SEATTLE,7.0,USA,UNITED STATES,KING,WASHINGTON,WA,981011549,2019-12-01 00:00:00,2019-12-01 00:00:00,2019-08-05 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2019,98101,80228
104470,2020-07-09 00:00:00,2020,NR-ARD - GPMP - OPT TASK 14 - RANGELY,INP16PC00320,140P2120F0101,DELIVERY ORDER,C,14,DEPARTMENT OF THE INTERIOR (DOI),140P21,WASHINGTON CONTRACTING OFFICE,1443,NATIONAL PARK SERVICE,CONT_AWD_140P2120F0101_1443_INP16PC00320_1443,47835.0,2020-07-10 08:33:21,541620,ENVIRONMENTAL CONSULTING SERVICES,1,1443,NATIONAL PARK SERVICE,RANGELY,3.0,USA,UNITED STATES,RIO BLANCO,COLORADO,CO,816480006,2021-07-31 00:00:00,2021-07-31 00:00:00,2020-08-01 00:00:00,FORT COLLINS,102550670,AIR RESOURCE SPECIALISTS INC,805254429,2020,81648,80525
104611,2019-12-19 00:00:00,2020,"WARN, DROUGHT AND AWIA SUPPORT",68HERC19A0001,68HERC19F0250,BPA CALL,A,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HERC,CINCINNATI ACQUISITION DIV (CAD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HERC19F0250_6800_68HERC19A0001_6800,74422.46,2020-07-07 17:27:05,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,SANDWICH,9.0,USA,UNITED STATES,BARNSTABLE,MASSACHUSETTS,MA,025635301,2020-11-14 00:00:00,2020-11-14 00:00:00,2019-08-15 00:00:00,SANDWICH,618387484,HORSLEY WITTEN GROUP INC,025635301,2019,02563,02563
104735,2020-08-18 00:00:00,2020,NR-ARD - OPT TASK 8 SPECIAL DATA,INP16PC00320,140P2120F0166,DELIVERY ORDER,C,14,DEPARTMENT OF THE INTERIOR (DOI),140P21,WASHINGTON CONTRACTING OFFICE,1443,NATIONAL PARK SERVICE,CONT_AWD_140P2120F0166_1443_INP16PC00320_1443,81975.0,2020-08-18 22:37:49,541620,ENVIRONMENTAL CONSULTING SERVICES,1,1443,NATIONAL PARK SERVICE,FORT COLLINS,2.0,USA,UNITED STATES,LARIMER,COLORADO,CO,805254475,2021-08-31 00:00:00,2021-08-31 00:00:00,2020-09-01 00:00:00,FORT COLLINS,102550670,AIR RESOURCE SPECIALISTS INC,805254429,2020,80525,80525
104750,2020-04-15 00:00:00,2020,TECHNICAL AND REGULATORY SUPPORT FOR THE DEVELOPMENT OF CRITERIA  FOR WATER MEDIA (ECOLOGICAL EMPHASIS),EPC14022,EPC14022,DEFINITIVE CONTRACT,D,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HERC,CINCINNATI ACQUISITION DIV (CAD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_EPC14022_6800_-NONE-_-NONE-,-63514.4,2020-04-15 14:18:11,541690,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY (EPA),TRAVERSE CITY,1.0,USA,UNITED STATES,GRAND TRAVERSE,MICHIGAN,MI,496863458,2020-05-31 00:00:00,2021-05-15 00:00:00,2014-10-01 00:00:00,TRAVERSE CITY,800884181,GREAT LAKES ENVIRONMENTAL CENTER INC,496863458,2020,49686,49686
104811,2018-04-06 00:00:00,2018,"IGF::CL::IGF  SUPPORT OF NCEA'S QUALITY PROGRAM FOR QA REVIEWS OF PLANNING DOCUMENTS, WORK PRODUCTS, AND AUDITS/ASSESSMENTS",EPC13022,0077,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE0C,CINCINNATI PROC OPS DIVISION (CPOD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_0077_6800_EPC13022_6800,-9535.95,2018-04-06 11:44:56,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,LOS ALAMOS,3.0,USA,UNITED STATES,LOS ALAMOS,NEW MEXICO,NM,875443000,2017-07-05 00:00:00,2017-07-05 00:00:00,2018-04-06 00:00:00,LOS ALAMOS,623278447,NEPTUNE AND COMPANY INC,875443000,2018,87544,87544
105635,2019-10-09 00:00:00,2020,NATIONAL AQUATIC RESOURCE SURVEYS NATIONAL COASTAL CONDITION ASSESSMENT 2020: LOGISTICS SUPPORT AND TRAINING,EPC16008,68HERC19F0269,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HERC,CINCINNATI ACQUISITION DIV (CAD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HERC19F0269_6800_EPC16008_6800,565198.0,2019-10-09 15:16:40,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,TRAVERSE CITY,1.0,USA,UNITED STATES,GRAND TRAVERSE,MICHIGAN,MI,496863458,2021-01-31 00:00:00,2021-04-30 00:00:00,2019-10-09 00:00:00,TRAVERSE CITY,800884181,GREAT LAKES ENVIRONMENTAL CENTER INC,496863458,2019,49686,49686
105903,2019-12-10 00:00:00,2020,OHIO RIVER CONTINUOUS WATER DATA ANALYTICS SUPPORT,EPC18007,68HE0C18F0865,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HERH,HEADQUARTERS ACQUISITION DIV (HQAD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0C18F0865_6800_EPC18007_6800,-282.31,2019-12-11 11:59:55,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,LAKEWOOD,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802154748,2019-08-28 00:00:00,2019-08-28 00:00:00,2018-08-29 00:00:00,LAKEWOOD,623278447,NEPTUNE AND COMPANY INC,802154748,2019,80215,80215
106092,2019-03-26 00:00:00,2019,"IGF::OT::IGF, PM SUPPORT OPTION YEAR",HSBP1016C00021,HSBP1016C00021,DEFINITIVE CONTRACT,D,70,DEPARTMENT OF HOMELAND SECURITY (DHS),70B01C,ADMIN FACILITIES TRAINING CTR DIV,7014,U.S. CUSTOMS AND BORDER PROTECTION,CONT_AWD_HSBP1016C00021_7014_-NONE-_-NONE-,5781641.6,2019-03-26 15:58:23,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,1,7014,DEPARTMENT OF HOMELAND SECURITY (DHS),CATOOSA,1.0,USA,UNITED STATES,ROGERS,OKLAHOMA,OK,740153235,2020-03-18 00:00:00,2020-03-18 00:00:00,2019-03-19 00:00:00,CATOOSA,79089292,CHEROKEE NATION MANAGEMENT & CONSULTING LLC,740153235,2019,74015,74015
106256,2020-05-31 00:00:00,2020,EXERCISE OPTION 2 FOR THE UNITED HECKATHORN SITE UNDER CONTRACT # EP-S9-16-01  TASK ORDER #41 THE OBJECTIVE OF THIS TO IS TO IDENTIFY POTENTIALLY RESPONSIBLE PERSONS (PRPS) AND OTHER SOURCES IN THE AREA DEFINED WITHIN THE SCOPE OF THIS REQUEST.,EPS91601,68HE0918F0407,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE09,REGION 9 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0918F0407_6800_EPS91601_6800,-174753.6,2020-05-31 22:10:13,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,SAN FRANCISCO,12.0,USA,UNITED STATES,SAN FRANCISCO,CALIFORNIA,CA,941053920,2019-05-31 00:00:00,2019-05-31 00:00:00,2018-08-29 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2020,94105,80228
106442,2018-08-20 00:00:00,2018,IGF::OT::IGF   FULLY FUNDS OPTION PERIOD 2,HSBP1016C00021,HSBP1016C00021,DEFINITIVE CONTRACT,D,70,DEPARTMENT OF HOMELAND SECURITY (DHS),70B01C,ADMIN FACILITIES TRAINING CTR DIV,7014,U.S. CUSTOMS AND BORDER PROTECTION,CONT_AWD_HSBP1016C00021_7014_-NONE-_-NONE-,2233375.3,2018-08-20 10:50:43,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,1,7014,DEPARTMENT OF HOMELAND SECURITY (DHS),CATOOSA,1.0,USA,UNITED STATES,ROGERS,OKLAHOMA,OK,740153235,2019-03-18 10:50:23,2020-03-18 10:50:23,2018-08-21 10:50:23,CATOOSA,79089292,CHEROKEE NATION MANAGEMENT & CONSULTING LLC,740153235,2018,74015,74015
107020,2019-05-30 00:00:00,2019,IGF::OT::IGF PRP SEARCH AND ENFORCEMENT SUPPORT CASMALIA RESOURCES SUPERFUND SITE OPTION YEAR 3,EPS91601,68HE0919F0058,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE09,REGION 9 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0919F0058_6800_EPS91601_6800,50000.0,2021-01-24 21:41:59,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,SAN FRANCISCO,12.0,USA,UNITED STATES,SAN FRANCISCO,CALIFORNIA,CA,941053920,2020-05-31 00:00:00,2020-05-31 00:00:00,2019-06-01 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2019,94105,80228
107245,2019-07-22 00:00:00,2019,PRP SEARCH AND ENFORCEMENT SUPPORT OMEGA CHEMICAL COMPANY (OMEGA)OPTION YEAR 3,EPS91601,68HE0919F0061,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE09,REGION 9 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0919F0061_6800_EPS91601_6800,43611.21,2019-07-22 16:11:25,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,SAN FRANCISCO,12.0,USA,UNITED STATES,SAN FRANCISCO,CALIFORNIA,CA,941053920,2020-05-31 00:00:00,2020-05-31 00:00:00,2019-07-22 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2019,94105,80228
107262,2019-04-04 00:00:00,2019,"IGF::OT::IGF NEPA REVIEW FOR THE LICENSE RENEWAL OF HONEYWELL INTERNATIONAL, INC. HONEYWELL METROPOLIS WORKS",NRCHQ2514E0003,NRCHQ5016T0001,DELIVERY ORDER,C,31,NUCLEAR REGULATORY COMMISSION (NRC),313100,NUCLEAR REGULATORY COMMISSION,3100,NUCLEAR REGULATORY COMMISSION,CONT_AWD_NRCHQ5016T0001_3100_NRCHQ2514E0003_3100,71000.0,2019-04-04 18:08:19,541690,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,1,3100,NUCLEAR REGULATORY COMMISSION,VIENNA,11.0,USA,UNITED STATES,FAIRFAX,VIRGINIA,VA,221822241,2019-09-29 00:00:00,2019-09-29 00:00:00,2019-04-04 17:08:16,VIENNA,71167910,S C & A INC,221822241,2019,22182,22182
107379,2020-07-10 00:00:00,2020,TECHNICAL DOCUMENT REVIEWS OF THE EPA'S DRAFT INFORMATION TECHNOLOGY/INFORMATION MANAGEMENT DIRECTIVES.,EPC18007,68HERH20F0201,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HERH,HEADQUARTERS ACQUISITION DIV (HQAD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HERH20F0201_6800_EPC18007_6800,-1495.84,2020-07-10 09:06:58,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,LAKEWOOD,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802154748,2020-06-17 00:00:00,2020-06-17 00:00:00,2020-03-18 00:00:00,LAKEWOOD,623278447,NEPTUNE AND COMPANY INC,802154748,2020,80215,80215
107728,2018-02-28 00:00:00,2018,IGF::OT::IGF BASE YEAR IDIQ HAZARDOUS WASTE ANALYSIS,N6945017D4006,0001,DELIVERY ORDER,C,97,DEPARTMENT OF DEFENSE (DOD),N69450,NAVFAC SOUTHEAST,1700,DEPT OF THE NAVY,CONT_AWD_0001_9700_N6945017D4006_9700,1491.45,2018-02-28 17:26:03,541620,ENVIRONMENTAL CONSULTING SERVICES,1,9700,DEPT OF DEFENSE,CORPUS CHRISTI,27.0,USA,UNITED STATES,NUECES,TEXAS,TX,784195021,2018-04-10 00:00:00,2018-04-10 00:00:00,2018-02-28 00:00:00,SAN ANTONIO,79192385,SPECPRO PROFESSIONAL SERVICES LLC,782162858,2018,78419,78216
107927,2020-04-17 00:00:00,2020,SUBJECT MATTER SUPPORT APPENDIX 4,W9124J18D0009,W9124J20F0028,DELIVERY ORDER,C,97,DEPARTMENT OF DEFENSE (DOD),W9124J,W6QM MICC-FDO FT SAM HOUSTON,2100,DEPT OF THE ARMY,CONT_AWD_W9124J20F0028_9700_W9124J18D0009_9700,10000.0,2020-04-17 14:41:03,541618,OTHER MANAGEMENT CONSULTING SERVICES,1,9700,DEPT OF DEFENSE,WASHINGTON,0.0,USA,UNITED STATES,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,203100110,2021-02-28 00:00:00,2021-02-28 00:00:00,2020-04-01 00:00:00,CATOOSA,79089292,CHEROKEE NATION MANAGEMENT & CONSULTING LLC,740153235,2020,20310,74015
108006,2020-07-20 00:00:00,2020,NR-ARD-OPT TASK 7-SPECIAL PARK MON GRSM,INP16PC00320,140P2120F0142,DELIVERY ORDER,C,14,DEPARTMENT OF THE INTERIOR (DOI),140P21,WASHINGTON CONTRACTING OFFICE,1443,NATIONAL PARK SERVICE,CONT_AWD_140P2120F0142_1443_INP16PC00320_1443,25659.0,2020-07-20 22:35:39,541620,ENVIRONMENTAL CONSULTING SERVICES,1,1443,NATIONAL PARK SERVICE,FORT COLLINS,2.0,USA,UNITED STATES,LARIMER,COLORADO,CO,805254429,2021-07-31 00:00:00,2021-07-31 00:00:00,2020-08-01 00:00:00,FORT COLLINS,102550670,AIR RESOURCE SPECIALISTS INC,805254429,2020,80525,80525
109837,2020-08-18 00:00:00,2020,TECHNICAL QUALITY ASSURANCE (QA) AND STATISTICAL SUPPORT FOR THE OFFICE OF RESEARCH AND DEVELOPMENT (ORD)-STATISTICAL AND R SUPPORT FOR THE EPA R USER GROUP 2019-2020,EPC18007,68HERH19F0303,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HERH,HEADQUARTERS ACQUISITION DIV (HQAD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HERH19F0303_6800_EPC18007_6800,-1518.92,2020-08-18 10:14:25,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,LAKEWOOD,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802154748,2020-08-02 00:00:00,2020-08-02 00:00:00,2019-08-01 00:00:00,LAKEWOOD,623278447,NEPTUNE AND COMPANY INC,802154748,2020,80215,80215
110365,2020-06-08 00:00:00,2020,SAMPLING AND ANALYSIS SUPPORT AT TAR SANDS AND OIL SHALE FACILITIES.  THE PURPOSE OF THE SAMPLING IS TO GATHER DATA ON THE WASTES GENERATED DURING TAR SANDS PROCESSING FOR MAKING A BEVILL OPINION OR DETERMINE ADHERENCE TO SUBTITLE C REGULATION.,68HERH19D0020,68HE0420F0050,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE04,REGION 4 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0420F0050_6800_68HERH19D0020_6800,48068.0,2020-06-08 13:59:17,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,RANDLETT,1.0,USA,UNITED STATES,UINTAH,UTAH,UT,840639724,2020-10-15 00:00:00,2020-10-15 00:00:00,2020-06-08 00:00:00,ARLINGTON,71167910,S C & A INC,222013324,2020,84063,22201
110969,2020-06-03 00:00:00,2020,CLOSELY ASSOCIATED -   TECHNICAL SUPPORT FOR DEVELOPING AND APPROVING WATER QUALITY STANDARDS AND CRITERIA,EPC12006,EPC12006,DEFINITIVE CONTRACT,D,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HERC,CINCINNATI ACQUISITION DIV (CAD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_EPC12006_6800_-NONE-_-NONE-,-764.62,2020-06-03 08:12:42,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY (EPA),SANDWICH,9.0,USA,UNITED STATES,BARNSTABLE,MASSACHUSETTS,MA,025635301,2017-03-31 00:00:00,2017-03-31 00:00:00,2012-01-01 00:00:00,SANDWICH,618387484,HORSLEY WITTEN GROUP INC,025635301,2020,02563,02563
111172,2018-08-13 00:00:00,2018,IGF::CT::IGF FOR CRITICAL FUNCTIONS-HUMAN CAPITAL SERVICES,TFSAFIN17D0004,170004,DELIVERY ORDER,C,20,DEPARTMENT OF THE TREASURY (TREAS),203412,ARC DIV PROC SVCS - FINCEN,2036,BUREAU OF THE FISCAL SERVICE,CONT_AWD_170004_2036_TFSAFIN17D0004_2036,678314.0,2018-08-16 06:28:09,541612,"HUMAN RESOURCES CONSULTING SERVICES (2007), HUMAN RESOURCES AND EXECUTIVE SEARCH CONSULTING SERVICES (2002)",1,2036,BUREAU OF THE FISCAL SERVICE,WASHINGTON,0.0,USA,UNITED STATES,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,200363811,2019-08-27 00:00:00,2022-08-27 00:00:00,2018-08-28 00:00:00,CATOOSA,79089292,CHEROKEE NATION MANAGEMENT & CONSULTING LLC,740153235,2018,20036,74015
111710,2020-05-21 00:00:00,2020,NR-ARD - GPMP OPTION TASK 19 - CHCU,INP16PC00320,140P2120F0076,DELIVERY ORDER,C,14,DEPARTMENT OF THE INTERIOR (DOI),140P21,WASHINGTON CONTRACTING OFFICE,1443,NATIONAL PARK SERVICE,CONT_AWD_140P2120F0076_1443_INP16PC00320_1443,20181.1,2020-05-21 17:37:20,541620,ENVIRONMENTAL CONSULTING SERVICES,1,1443,NATIONAL PARK SERVICE,FORT COLLINS,2.0,USA,UNITED STATES,LARIMER,COLORADO,CO,805254429,2020-10-31 00:00:00,2020-10-31 00:00:00,2020-05-21 00:00:00,FORT COLLINS,102550670,AIR RESOURCE SPECIALISTS INC,805254429,2020,80525,80525
112081,2020-04-20 00:00:00,2020,"RESOURCE CONSERVATION AND RECOVERY ACT (RCRA) ENFORCEMENT, PERMITTING AND ASSISTANCE (REPA) 6 ZONE 3 - EPA REGIONS: 2, 7, 9 AND 10",68HERH19D0018,68HE0920F0007,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE09,REGION 9 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0920F0007_6800_68HERH19D0018_6800,538501.0,2020-04-20 20:54:22,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,SAN FRANCISCO,12.0,USA,UNITED STATES,SAN FRANCISCO,CALIFORNIA,CA,941053920,2023-11-14 00:00:00,2023-11-14 00:00:00,2019-12-18 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2020,94105,80228
112753,2019-11-15 00:00:00,2020,CLOSELY ASSOCIATED -   TECHNICAL SUPPORT FOR DEVELOPING AND APPROVING WATER QUALITY STANDARDS AND CRITERIA,EPC12006,EPC12006,DEFINITIVE CONTRACT,D,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HERC,CINCINNATI ACQUISITION DIV (CAD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_EPC12006_6800_-NONE-_-NONE-,829.57,2019-11-15 15:40:00,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY (EPA),SANDWICH,9.0,USA,UNITED STATES,BARNSTABLE,MASSACHUSETTS,MA,025635301,2017-03-31 00:00:00,2017-03-31 00:00:00,2012-01-01 00:00:00,SANDWICH,618387484,HORSLEY WITTEN GROUP INC,025635301,2019,02563,02563
112850,2018-08-31 00:00:00,2018,"IGF::CL,CT::IGF  CORRECTIVE ACTION SUPPORT FOR AMERICAN METALS, WESTLAKE, OH; ARIZONA CHEMICAL, DOVER, OH; A.K STEEL, MANSFIELD, OH; ASHLAND CHEMICAL, CALUMET CITY, IL; AND MODINEER, NILES, MI  MOD P00007 - THIS MODIFICATION OBLIGATES FUNDS IN THE AMOUNT OF $4,500.00.  THERE ARE NO OTHER CHANGES UNDER THIS MODIFICATION.",EPW12032,5541,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE0S,SF PROC OPS DIVISION (SRRPOD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_5541_6800_EPW12032_6800,5000.0,2018-08-31 12:02:51,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,7.0,USA,UNITED STATES,COOK,ILLINOIS,IL,606043507,2018-11-15 00:00:00,2018-11-15 00:00:00,2018-08-31 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2018,60604,80228
